374: min fit = 0.00549555, time = 0
375: min fit = 0.00549555, time = 0
376: min fit = 0.00549555, time = 0
377: min fit = 0.00549555, time = 0
378: min fit = 0.00549555, time = 0
379: min fit = 0.00549555, time = 0
380: min fit = 0.0801877, time = 0
381: min fit = 0.0801877, time = 0
382: min fit = 0.00162542, time = 0
383: min fit = 0.00162542, time = 1
384: min fit = 0.00162542, time = 0
385: min fit = 0.00162542, time = 0
386: min fit = 0.00162542, time = 0
387: min fit = 0.00162542, time = 0
388: min fit = 0.00162542, time = 0
389: min fit = 0.00172094, time = 0
390: min fit = 0.00172094, time = 0
391: min fit = 0.00172094, time = 0
392: min fit = 0.00172094, time = 0
393: min fit = 0.00172094, time = 0
394: min fit = 0.00172094, time = 1
395: min fit = 0.00172094, time = 0
396: min fit = 0.00172094, time = 0
397: min fit = 0.00172094, time = 0
398: min fit = 0.00172094, time = 0
399: min fit = 0.00172094, time = 0
400: min fit = 0.00172094, time = 0
401: min fit = 0.00172094, time = 0
402: min fit = 0.00172094, time = 0
403: min fit = 0.00172094, time = 0
404: min fit = 0.00172094, time = 1
405: min fit = 0.00172094, time = 0
406: min fit = 0.00172094, time = 0
407: min fit = 0.00172094, time = 0
408: min fit = 0.00172094, time = 0
409: min fit = 0.00172094, time = 0
410: min fit = 0.00172094, time = 0
411: min fit = 0.00172094, time = 0
412: min fit = 0.00172094, time = 0
413: min fit = 0.00172094, time = 0
414: min fit = 0.00172094, time = 0
415: min fit = 0.00172094, time = 0
416: min fit = 0.00172094, time = 0
417: min fit = 0.00172094, time = 1
418: min fit = 0.00172094, time = 0
419: min fit = 0.00172094, time = 0
420: min fit = 0.00511545, time = 1
421: min fit = 0.00511545, time = 0
422: min fit = 0.00511545, time = 0
423: min fit = 0.0218844, time = 0
424: min fit = 0.0218844, time = 0
425: min fit = 0.0218844, time = 0
426: min fit = 0.0513215, time = 0
427: min fit = 0.122083, time = 0
428: min fit = 0.04196, time = 0
429: min fit = 0.00339737, time = 0
430: min fit = 0.00339737, time = 0
431: min fit = 0.00339737, time = 1
432: min fit = 0.00339737, time = 0
433: min fit = 0.0114979, time = 0
434: min fit = 0.0161621, time = 0
435: min fit = 0.0161621, time = 0
436: min fit = 0.00338359, time = 0
